Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
14902626853,"Jun 24, 2025, 4:38:41 PM",Afternoon Walk,Walk,"",659,1.17,,,false,,,activities/14902626853.gpx,,,659.0,623.0,1170.4,4.21,1.879,0.0,7.1,2.5,12.0,7.4,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.776,335.0,,,,1306.0,,,,,,,,,,,,,""
14903001200,"Jun 24, 2025, 4:50:26 PM",Evening Lisbon run!,Walk,"",1814,4.83,,,false,,,activities/14903001200.gpx,,,1814.0,1814.0,4835.4,4.12,2.666,0.0,0.0,5.9,7.9,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.666,1301.9,,,,4492.0,,,,,,,,,,,,,media/93338613-E6A2-4672-AD19-A7633824FD66.mp4|media/FBDAE322-EDED-416E-8D18-5045F36973D0.mp4
14942476686,"Jun 28, 2025, 1:16:55 PM",Afternoon walk in Corsica!,Walk,"",2480,3.82,,,false,,,activities/14942476686.gpx,,,2480.0,2437.0,3822.3,3.49,1.568,42.6,42.3,4.2,22.0,15.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.541,0.0,,,,4598.0,,,,,,,,,,,,,media/AA24C5A5-89EA-4BE1-8391-977AEFFF3C13.jpg|media/7B128315-D448-4788-9C45-4450638BC208.mp4|media/6120B331-DFA8-47B1-B88D-4BF91525863B.jpg
14955422365,"Jun 29, 2025, 4:55:40 PM",Evening run in Ajjacio!,Walk,"",2174,5.33,,,false,,,activities/14955422365.gpx,,,2174.0,2174.0,5336.0,3.62,2.454,23.9,24.0,4.4,14.5,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.454,187.0,,,,5294.0,,,,,,,,,,,,,media/AB7C2F07-6E00-4CC6-ABE4-BC7FCCF1C6E0.mp4|media/18F3360F-ABC2-4CD2-BCE1-DBE31638413F.mp4
14971321647,"Jul 1, 2025, 9:59:38 AM",Midday run from Beaulieu-sur-Mar to Eze!,Walk,"",1698,3.88,,,false,,,activities/14971321647.gpx,,,1698.0,1664.0,3887.3,4.98,2.336,16.6,18.7,7.8,24.7,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.289,0.0,,,,3746.0,,,,,,,,,,,,,media/92D39D3B-795F-46EA-A087-979CFB77AFF8.jpg|media/F1A6103E-4010-4A97-B33F-3964AE047564.mp4
14982615690,"Jul 2, 2025, 10:41:31 AM",Walk in St. Tropez 🩷,Walk,"",2443,3.87,,,false,,,activities/14982615690.gpx,,,2443.0,2161.0,3873.1,6.16,1.792,32.1,32.5,2.8,25.7,10.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.585,126.1,,,,3780.0,,,,,,,,,,,,,media/83F24F48-601F-47B3-973C-19D622D184F1.jpg|media/1BB8002E-0CD8-4B7C-A812-C094F81D90A8.jpg|media/08EAB41A-66D1-4539-A41B-C0227ECC19ED.jpg|media/55441808-6A14-44D3-B63D-7D7D14C1A2B6.jpg
15012217601,"Jul 5, 2025, 8:27:41 AM",Morning walk around chateau la coste,Walk,"",2083,4.36,,,false,,,activities/15012217601.gpx,,,2083.0,2083.0,4363.1,4.0,2.095,77.1,70.9,295.8,328.3,13.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1751702400.0,1.0,26.8,29.0,13.6,0.44,1016.8,2.0,4.8,303.0,0.0,1751688192.0,1751743360.0,0.375,,,0.0,1.0,0.0,32617.0,4.0,,,,,0.0,2.095,0.0,,,,4186.0,,,,,,,,,,,,,media/D675A51D-A25F-48F5-BB5F-13E3A6C9CB38.jpg|media/DA841A10-285D-490B-ACC4-DDA07762F035.mp4|media/3B992181-3D4F-41DC-8FE9-44343C9B67BB.jpg
15023099317,"Jul 6, 2025, 9:17:55 AM",2 mile run 1 mile walk in Aix-en-Provence,Run,"",2283,4.83,,,false,,,activities/15023099317.gpx,,,2283.0,2172.0,4830.7,3.78,2.224,80.2,79.5,254.1,325.2,10.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4963.4,1751792384.0,1.0,27.8,28.2,8.7,0.3,1012.6,4.2,8.5,300.0,0.0,1751774592.0,1751829760.0,0.375,,,0.0,1.0,0.07,32995.0,6.0,,,,,0.0,2.116,0.0,,,,4896.0,,,,,2.285,,,,,,,,media/3E1D1735-9A38-468A-B166-34D74D6034B7.jpg|media/CAA75E44-7DDB-4127-91D3-D740A4F24132.jpg|media/EC45E474-1603-4EC8-B4AC-3724086ACFCC.mp4
15043461918,"Jul 8, 2025, 8:48:54 AM",Walk around Split!,Walk,"",2603,2.24,,,false,,,activities/15043461918.gpx,,,2603.0,1853.0,2246.7,8.54,1.212,18.1,8.3,3.5,16.9,43.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1751961600.0,1.0,23.7,26.0,19.0,0.75,1004.5,1.9,4.7,117.0,0.5,1751944960.0,1751999872.0,0.375,,,0.65,5.0,0.18,24056.0,5.0,,,,,0.0,0.863,66.5,,,,2264.0,,,,,,,,,,,,,media/0B5692AD-E86C-44FA-8CE2-BD0440839AE3.jpg|media/1866C511-9C71-4130-A782-FB5A6C09E1BD.jpg|media/92C4DA91-1A46-4796-BF30-B74247A67A1D.mp4
15081298961,"Jul 11, 2025, 4:58:49 PM",Run w sightseeing in Berlin!,Run,"",2956,7.00,,,false,,,activities/15081298961.gpx,,,2956.0,2535.0,7002.5,5.26,2.762,3.8,3.7,35.5,39.4,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7006.5,1752249600.0,3.0,21.6,18.7,12.2,0.55,1012.6,4.9,10.7,338.0,0.0,1752202624.0,1752262016.0,0.5,,,0.58,5.0,0.98,19664.0,1.0,,,,,0.0,2.369,2833.2,,,,5898.0,,,,,2.764,,,,,,,,media/EC78765A-D10D-4941-87A9-FDB650BFFB32.jpg|media/91C12239-4222-4261-B595-7D048D58C407.jpg|media/300173DA-4D92-4713-852D-71DCD28E142E.mp4
