Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance in kilometers,Filename,Moving Time,Max Speed,Average Speed,Total Steps,Media
14902626853,"Jun 24, 2025, 4:38:41 PM",Afternoon Walk,Walk,659,1.17,activities/14902626853.gpx,623,4.21,1.879,1306,
14903001200,"Jun 24, 2025, 4:50:26 PM",Evening Lisbon run!,Walk,1814,4.83,activities/14903001200.gpx,1814,4.12,2.666,4492,media/93338613-E6A2-4672-AD19-A7633824FD66.mp4|media/FBDAE322-EDED-416E-8D18-5045F36973D0.mp4
14942476686,"Jun 28, 2025, 1:16:55 PM",Afternoon walk in Corsica!,Walk,2480,3.82,activities/14942476686.gpx,2437,3.49,1.568,4598,media/AA24C5A5-89EA-4BE1-8391-977AEFFF3C13.jpg|media/7B128315-D448-4788-9C45-4450638BC208.mp4|media/6120B331-DFA8-47B1-B88D-4BF91525863B.jpg
14955422365,"Jun 29, 2025, 4:55:40 PM",Evening run in Ajjacio!,Walk,2174,5.33,activities/14955422365.gpx,2174,3.62,2.454,5294,media/AB7C2F07-6E00-4CC6-ABE4-BC7FCCF1C6E0.mp4|media/18F3360F-ABC2-4CD2-BCE1-DBE31638413F.mp4
14971321647,"Jul 1, 2025, 9:59:38 AM",Midday run from Beaulieu-sur-Mar to Eze!,Walk,1698,3.88,activities/14971321647.gpx,1664,4.98,2.336,3746,media/92D39D3B-795F-46EA-A087-979CFB77AFF8.jpg|media/F1A6103E-4010-4A97-B33F-3964AE047564.mp4
14982615690,"Jul 2, 2025, 10:41:31 AM",Walk in St. Tropez 🩷,Walk,2443,3.87,activities/14982615690.gpx,2161,6.16,1.792,3780,media/83F24F48-601F-47B3-973C-19D622D184F1.jpg|media/1BB8002E-0CD8-4B7C-A812-C094F81D90A8.jpg|media/08EAB41A-66D1-4539-A41B-C0227ECC19ED.jpg|media/55441808-6A14-44D3-B63D-7D7D14C1A2B6.jpg
15012217601,"Jul 5, 2025, 8:27:41 AM",Morning walk around chateau la coste,Walk,2083,4.36,activities/15012217601.gpx,2083,4,2.095,4186,media/D675A51D-A25F-48F5-BB5F-13E3A6C9CB38.jpg|media/DA841A10-285D-490B-ACC4-DDA07762F035.mp4|media/3B992181-3D4F-41DC-8FE9-44343C9B67BB.jpg
15023099317,"Jul 6, 2025, 9:17:55 AM",2 mile run 1 mile walk in Aix-en-Provence,Run,2283,4.83,activities/15023099317.gpx,2172,3.78,2.224,4896,media/3E1D1735-9A38-468A-B166-34D74D6034B7.jpg|media/CAA75E44-7DDB-4127-91D3-D740A4F24132.jpg|media/EC45E474-1603-4EC8-B4AC-3724086ACFCC.mp4
15043461918,"Jul 8, 2025, 8:48:54 AM",Walk around Split!,Walk,2603,2.24,activities/15043461918.gpx,1853,8.54,1.212,2264,media/0B5692AD-E86C-44FA-8CE2-BD0440839AE3.jpg|media/1866C511-9C71-4130-A782-FB5A6C09E1BD.jpg|media/92C4DA91-1A46-4796-BF30-B74247A67A1D.mp4
15081298961,"Jul 11, 2025, 4:58:49 PM",Run w sightseeing in Berlin!,Run,2956,7,activities/15081298961.gpx,2535,5.26,2.762,5898,media/EC78765A-D10D-4941-87A9-FDB650BFFB32.jpg|media/91C12239-4222-4261-B595-7D048D58C407.jpg|media/300173DA-4D92-4713-852D-71DCD28E142E.mp4
